단축코드,한글종목명,한글종목약명,상장일,기초지수명
381170,미래에셋 TIGER 미국테크TOP10 INDXX증권상장지수투자신탁(주식),TIGER 미국테크TOP10 INDXX,2021/04/09,Indxx US Tech Top 10 Index
381180,미래에셋 TIGER 미국필라델피아반도체나스닥증권상장지수투자신탁(주식),TIGER 미국필라델피아반도체나스닥,2021/04/09,PHLX Semiconductor Sector Index
228810,미래에셋 TIGER 미디어컨텐츠 증권상장지수투자신탁(주식),TIGER 미디어컨텐츠,2015/10/07,WISE 미디어컨텐츠 지수
091230,미래에셋 TIGER 반도체 증권상장지수투자신탁(주식),TIGER 반도체,2006/06/27,KRX 반도체
098560,미래에셋 TIGER 방송통신증권상장지수투자신탁(주식),TIGER 방송통신,2007/09/07,KRX 방송통신
138520,미래에셋 TIGER 삼성그룹 증권상장지수투자신탁(주식),TIGER 삼성그룹펀더멘털,2011/03/07,MKF SAMs FW
157490,미래에셋 TIGER 소프트웨어 증권상장지수투자신탁(주식),TIGER 소프트웨어,2012/05/16,FnGuide 소프트웨어 지수
228800,미래에셋 TIGER 여행레저 증권상장지수투자신탁(주식),TIGER 여행레저,2015/10/07,WISE 여행레저 지수
227570,미래에셋 TIGER 우량가치 증권상장지수투자신탁(주식),TIGER 우량가치,2015/09/23,FnGuide 퀄리티밸류 지수
261140,미래에셋 TIGER 우선주증권상장지수투자신탁(주식),TIGER 우선주,2017/01/06,코스피 우선주 지수
130680,미래에셋 TIGER 원유선물 특별자산상장지수투자신탁(원유-파생형),TIGER 원유선물Enhanced(H),2010/08/02,S&P GSCI Crude Oil Enhanced Index ER
245350,미래에셋 TIGER 유로스탁스배당30 증권상장지수투자신탁(주식-파생형),TIGER 유로스탁스배당30,2016/07/01,Euro STOXX Select Dividend 30
091220,미래에셋 TIGER 은행 증권상장지수투자신탁(주식),TIGER 은행,2006/06/27,KRX 은행
307510,미래에셋 TIGER 의료기기증권상장지수투자신탁(주식),TIGER 의료기기,2018/11/08,FnGuide 의료기기 지수
241180,미래에셋 TIGER 일본니케이225증권상장지수투자신탁(주식-파생형),TIGER 일본니케이225,2016/03/31,Nikkei 225
292560,미래에셋 TIGER 일본엔선물특별자산상장지수투자신탁(엔-파생형),TIGER 일본엔선물,2018/04/17,엔선물지수
248260,미래에셋 TIGER 일본헬스케어 증권상장지수투자신탁(주식-파생형)(합성),TIGER 일본TOPIX헬스케어(합성),2016/07/01,TOPIX-17 Pharmaceutical Index
150460,미래에셋 TIGER 중국소비테마 증권상장지수투자신탁(주식),TIGER 중국소비테마,2011/12/16,FnGuide 중국내수테마 지수
302190,미래에셋 TIGER 중장기국채증권상장지수투자신탁(채권-파생형),TIGER 중장기국채,2018/07/20,KIS 국채 3-10년 지수(시장가격지수)
157500,미래에셋 TIGER 증권 증권상장지수투자신탁(주식),TIGER 증권,2012/05/16,FnGuide 증권 지수
307520,미래에셋 TIGER 지주회사증권상장지수투자신탁(주식),TIGER 지주회사,2018/11/08,FnGuide 지주회사 지수
117690,미래에셋 TIGER 차이나 증권상장지수투자신탁(주식),TIGER 차이나항셍25,2009/10/21,Hang Seng China (Hong Kong-listed) 25 Index
245360,미래에셋 TIGER 차이나H증권상장지수투자신탁(주식-파생형),TIGER 차이나HSCEI,2016/06/16,Hang Seng China H
414780,미래에셋 TIGER 차이나과창판STAR50증권상장지수투자신탁(주식-파생형)(합성),TIGER 차이나과창판STAR50(합성),2022/01/13,STAR 50 Index(Price Return)
371470,미래에셋 TIGER 차이나바이오테크SOLACTIVE증권상장지수투자신탁(주식-파생형),TIGER 차이나바이오테크SOLACTIVE,2020/12/08,Solactive China Biotech Index(Net Total Return)
396520,미래에셋 TIGER 차이나반도체FACTSET증권상장지수투자신탁(주식-파생형),TIGER 차이나반도체FACTSET,2021/08/10,FactSet China Semiconductor 지수(Net Total Return)
371460,미래에셋 TIGER 차이나전기차SOLACTIVE증권상장지수투자신탁(주식-파생형),TIGER 차이나전기차SOLACTIVE,2020/12/08,Solactive China Electric Vehicle Index(Net Total Return)
396510,미래에셋 TIGER 차이나클린에너지SOLACTIVE증권상장지수투자신탁(주식-파생형),TIGER 차이나클린에너지SOLACTIVE,2021/08/10,Solactive China Clean Energy 지수(Net Total Return)
371160,미래에셋 TIGER 차이나항셍테크증권상장지수투자신탁(주식),TIGER 차이나항셍테크,2020/12/16,Hang Seng TECH Index
166400,미래에셋 TIGER 커버드콜5%OTM증권상장지수투자신탁(주식-파생형),TIGER 200커버드콜5%OTM,2012/10/25,코스피 200 커버드콜 5% OTM
232080,미래에셋 TIGER 코스닥150 증권상장지수투자신탁(주식),TIGER 코스닥150,2015/11/12,코스닥 150
261060,미래에셋 TIGER 코스닥150IT증권상장지수투자신탁(주식),TIGER 코스닥150IT,2016/12/15,코스닥 150 정보기술
261070,미래에셋 TIGER 코스닥150바이오테크증권상장지수투자신탁(주식),TIGER 코스닥150바이오테크,2016/12/15,코스닥 150 헬스케어
277640,미래에셋 TIGER 코스피대형주증권상장지수투자신탁(주식),TIGER 코스피대형주,2017/08/31,코스피 대형주
277650,미래에셋 TIGER 코스피중형주증권상장지수투자신탁(주식),TIGER 코스피중형주,2017/08/31,코스피 중형주
277630,미래에셋 TIGER 코스피증권상장지수투자신탁(주식),TIGER 코스피,2017/08/31,코스피
376410,미래에셋 TIGER 탄소효율그린뉴딜증권상장지수투자신탁(주식),TIGER 탄소효율그린뉴딜,2021/02/05,KRX/S&P 탄소효율 그린뉴딜지수
387280,미래에셋 TIGER 퓨처모빌리티액티브증권상장지수투자신탁(주식),TIGER 퓨처모빌리티액티브,2021/05/25,FnGuide 퓨처모빌리티 지수
143860,미래에셋 TIGER 헬스케어 증권상장지수투자신탁(주식),TIGER 헬스케어,2011/07/18,KRX 헬스케어
138540,미래에셋 TIGER 현대차그룹+ 증권상장지수투자신탁(주식),TIGER 현대차그룹+펀더멘털,2011/03/10,MKF 현대차그룹+ FW
228790,미래에셋 TIGER 화장품 증권상장지수투자신탁(주식),TIGER 화장품,2015/10/07,WISE 화장품 지수
394670,미래에셋 TIGER글로벌리튬&2차전지SOLACTIVE증권상장지수투자신탁(주식-파생형)(합성),TIGER 글로벌리튬&2차전지SOLACTIVE(합성),2021/07/20,Solactive Global Lithium 지수(Net Total Return)
394660,미래에셋 TIGER글로벌자율주행&전기차SOLACTIVE증권상장지수투자신탁(주식-파생형),TIGER 글로벌자율주행&전기차SOLACTIVE,2021/07/20,Solactive Autonomous & Electric Vehicles 지수(Net Total Return)
276000,미래에셋 TIGER모닝스타글로벌자원생산기업증권상장지수투자신탁(주식-파생형)(합성H),TIGER 글로벌자원생산기업(합성 H),2017/08/01,MorningStar Global Upstream Resources Index(PR)
139260,미래에셋TIGER200IT증권상장지수투자신탁(주식),TIGER 200 IT,2011/04/06,코스피 200 정보기술
139220,미래에셋TIGER200건설증권상장지수투자신탁(주식),TIGER 200 건설,2011/04/06,코스피 200 건설
139290,미래에셋TIGER200경기소비재증권상장지수투자신탁(주식),TIGER 200 경기소비재,2011/04/06,코스피 200 경기소비재
139270,미래에셋TIGER200금융증권상장지수투자신탁(주식),TIGER 200 금융,2011/04/06,코스피 200 금융
139250,미래에셋TIGER200에너지화학증권상장지수투자신탁(주식),TIGER 200 에너지화학,2011/04/06,코스피 200 에너지/화학
139230,미래에셋TIGER200중공업증권상장지수투자신탁(주식),TIGER 200 중공업,2011/04/06,코스피 200 중공업
139240,미래에셋TIGER200철강소재증권상장지수투자신탁(주식),TIGER 200 철강소재,2011/04/06,코스피 200 철강/소재
228820,미래에셋TIGERKTOP30증권상장지수투자신탁(주식),TIGER KTOP30,2015/10/14,KTOP 30
182480,미래에셋TIGERMSCIUS리츠부동산상장지수투자신탁(파생형)(합성 H),TIGER 미국MSCI리츠(합성 H),2013/10/10,MSCI US REIT Index
217790,미래에셋TIGER가격조정증권상장지수투자신탁(주식),TIGER 가격조정,2015/04/29,FnGuide Contrarian Index
203780,미래에셋TIGER나스닥바이오증권상장지수투자신탁(주식),TIGER 미국나스닥바이오,2014/08/27,NASDAQ Biotechnology 지수(시장가격지수)
182490,미래에셋TIGER단기선진국하이일드증권상장지수투자신탁(채권-파생형)(합성 H),TIGER 단기선진하이일드(합성 H),2014/03/24,Markit iBoxx USD Liquid High Yield 0-5 year 지수
174350,미래에셋TIGER로우볼증권상장지수투자신탁(주식),TIGER 로우볼,2013/06/20,FnGuide Low Vol 지수
275980,미래에셋TIGER모닝스타글로벌4차산업혁신기술증권상장지수투자신탁(주식-파생형)합성H,TIGER 글로벌4차산업혁신기술(합성 H),2017/08/01,MorningStar Exponential Technologies Index(PR)
211560,미래에셋TIGER배당성장증권상장지수투자신탁(주식),TIGER 배당성장,2014/12/17,코스피 배당성장 50
195930,미래에셋TIGER유로스탁스50증권상장지수투자신탁(주식-파생형)(합성 H),TIGER 유로스탁스50(합성 H),2014/04/30,EURO STOXX 50 Index
195920,미래에셋TIGER일본증권상장지수투자신탁(주식-파생형)(합성 H),TIGER 일본TOPIX(합성 H),2014/04/30,TOPIX
192090,미래에셋TIGER차이나A300증권상장지수자투자신탁(주식-파생형),TIGER 차이나CSI300,2014/02/17,CSI 300 Index
210780,미래에셋TIGER코스피고배당증권상장지수투자신탁(주식),TIGER 코스피고배당,2014/12/05,코스피 고배당 50
285690,브이아이 FOCUS ESG Leaders150증권상장지수투자신탁[주식],FOCUS ESG리더스,2017/12/13,KRX ESG Leaders 150
292730,브이아이 FOCUS KRX300증권상장지수투자신탁[주식],FOCUS KRX300,2018/03/26,KRX 300
402520,브이아이 FOCUS 혁신기업액티브증권상장지수투자신탁[주식],FOCUS 혁신기업액티브,2021/09/30,코스피
278530,삼성 KODEX 200 Total Return증권상장지수투자신탁[주식],KODEX 200TR,2017/11/21,코스피 200 TR
226980,삼성 KODEX 200 중소형 증권상장지수투자신탁(주식),KODEX 200 중소형,2015/09/01,코스피 200 중소형주지수
337160,삼성 KODEX 200ESG증권상장지수투자신탁[주식],KODEX 200ESG,2019/11/14,코스피 200 ESG 지수
363580,삼성 KODEX 200IT Total Return증권상장지수투자신탁[주식],KODEX 200IT TR,2020/09/25,코스피200 정보기술 TR
337150,삼성 KODEX 200exTOP증권상장지수투자신탁[주식],KODEX 200exTOP,2019/11/14,코스피 200 초대형제외 지수
223190,삼성 KODEX 200가치저변동증권상장지수투자신탁[주식],KODEX 200가치저변동,2015/06/26,코스피 200 가치저변동성
237350,삼성 KODEX 200대형증권상장지수투자신탁(주식),KODEX 코스피100,2016/01/27,코스피 100
252650,삼성 KODEX 200동일가중증권상장지수투자신탁[주식],KODEX 200동일가중,2016/09/20,코스피 200 동일가중지수
360140,삼성 KODEX 200롱코스닥150숏선물증권상장지수투자신탁[주식-파생형],KODEX 200롱코스닥150숏선물,2020/08/21,코스피200 롱 100% 코스닥150 숏 100% 선물지수
305720,삼성 KODEX 2차전지산업증권상장지수투자신탁[주식],KODEX 2차전지산업,2018/09/12,FnGuide 2차전지 산업 지수
271060,삼성 KODEX 3대농산물선물특별자산상장지수투자신탁[농산물-파생형](H),KODEX 3대농산물선물(H),2017/06/13,S&P GSCI Grains Select Index ER
368680,삼성 KODEX Fn K-뉴딜디지털플러스증권상장지수투자신탁[주식],KODEX Fn K-뉴딜디지털플러스,2020/11/10,FnGuide K-뉴딜 디지털 플러스 지수
395170,삼성 KODEX Fn Top10동일가중증권상장지수투자신탁[주식],KODEX Fn Top10동일가중,2021/07/30,FnGuide TOP10 동일가중 지수
337120,삼성 KODEX Fn멀티팩터증권상장지수투자신탁[주식],KODEX Fn멀티팩터,2019/11/14,FnGuide 멀티팩터 지수
325010,삼성 KODEX Fn성장증권상장지수투자신탁[주식형],KODEX Fn성장,2019/05/31,FnGuide 성장 지수(PR)
395160,삼성 KODEX Fn시스템반도체증권상장지수투자신탁[주식],KODEX Fn시스템반도체,2021/07/30,FnGuide 시스템반도체 지수
395150,삼성 KODEX Fn웹툰&드라마증권상장지수투자신탁[주식],KODEX Fn웹툰&드라마,2021/07/30,FnGuide 웹툰&드라마 지수
266370,삼성 KODEX IT증권상장지수투자신탁(주식),KODEX IT,2017/03/28,KRX 정보기술
101280,삼성 KODEX Japan 증권상장지수투자신탁[주식],KODEX 일본TOPIX100,2008/02/20,TOPIX100
401470,삼성 KODEX K-메타버스액티브증권상장지수투자신탁[주식],KODEX K-메타버스액티브,2021/10/13,FnGuide K-메타버스 지수
385520,삼성 KODEX K-미래차액티브증권상장지수투자신탁[주식],KODEX K-미래차액티브,2021/05/25,FnGuide K-미래차 지수
385510,삼성 KODEX K-신재생에너지액티브증권상장지수투자신탁[주식],KODEX K-신재생에너지액티브,2021/05/25,FnGuide K-신재생에너지 플러스 지수
373490,삼성 KODEX K-이노베이션액티브증권상장지수투자신탁[주식],KODEX K-이노베이션액티브,2020/12/24,FnGuide K-이노베이션 지수
423160,삼성 KODEX KOFR금리액티브특별자산상장지수투자신탁[금리-파생형](합성),KODEX KOFR금리액티브(합성),2022/04/26,KOFR 지수
292190,삼성 KODEX KRX300증권상장지수투자신탁[주식형],KODEX KRX300,2018/03/26,KRX 300
404260,삼성 KODEX KRX기후변화솔루션증권상장지수투자신탁[주식],KODEX KRX기후변화솔루션,2021/10/29,KRX 기후변화 솔루션지수
229720,삼성 KODEX KTOP30 증권상장지수투자신탁[주식],KODEX KTOP30,2015/10/14,KTOP 30
289040,삼성 KODEX MSCI ESG유니버설증권상장지수투자신탁[주식형],KODEX MSCI KOREA ESG유니버설,2018/02/07,MSCI Korea ESG Universal Capped Index
156080,삼성 KODEX MSCI KOREA 증권상장지수투자신탁[주식],KODEX MSCI Korea,2012/04/30,MSCI Korea Index
278540,삼성 KODEX MSCI Korea Total Return증권상장지수투자신탁[주식],KODEX MSCI Korea TR,2017/11/09,MSCI Korea TR Index
251350,삼성 KODEX MSCI World 증권상장지수투자신탁[주식],KODEX 선진국MSCI World,2016/08/17,MSCI World
275280,삼성 KODEX MSCI모멘텀증권상장지수투자신탁[주식형],KODEX MSCI모멘텀,2017/07/11,MSCI Korea IMI Momentum Capped
275290,삼성 KODEX MSCI밸류증권상장지수투자신탁[주식형],KODEX MSCI밸류,2017/07/11,MSCI Korea IMI Enhanced Value Capped
275300,삼성 KODEX MSCI퀄리티증권상장지수투자신탁[주식형],KODEX MSCI퀄리티,2017/07/11,MSCI Korea IMI Quality Capped
269420,삼성 KODEX S&P글로벌인프라증권상장지수투자신탁[주식-파생형](합성),KODEX S&P글로벌인프라(합성),2017/05/16,S&P Global Infrastructure Index
291890,삼성 KODEX SGX MSCI EM 선물증권상장지수투자신탁[주식-파생형](H),KODEX MSCI EM선물(H),2018/03/23,iEdge Emerging Markets Futures Index(ER)
433970,삼성 KODEX TDF2030액티브증권상장지수투자신탁[혼합-재간접형],KODEX TDF2030액티브,2022/06/30,Samsung Korea Target Date 2030 Index (Price Return)
433980,삼성 KODEX TDF2040액티브증권상장지수투자신탁[혼합-재간접형],KODEX TDF2040액티브,2022/06/30,Samsung Korea Target Date 2040 Index (Price Return)
434060,삼성 KODEX TDF2050액티브증권상장지수투자신탁[혼합-재간접형],KODEX TDF2050액티브,2022/06/30,Samsung Korea Target Date 2050 Index (Price Return)
329650,삼성 KODEX TRF3070증권상장지수투자신탁[채권혼합],KODEX TRF3070,2019/07/04,FnGuide TRF 3070 지수
329660,삼성 KODEX TRF5050증권상장지수투자신탁[주식혼합-재간접],KODEX TRF5050,2019/07/04,FnGuide TRF 5050 지수
329670,삼성 KODEX TRF7030증권상장지수투자신탁[주식혼합-재간접],KODEX TRF7030,2019/07/04,FnGuide TRF 7030 지수
352540,삼성 KODEX TSE일본리츠부동산상장지수투자신탁[REITs-파생재간접형](H),KODEX TSE일본리츠(H),2020/05/13,Tokyo Stock Exchange REIT Index
315930,삼성 KODEX Top5Plus Total Return증권상장지수투자신탁[주식형],KODEX Top5PlusTR,2019/01/22,FnGuide TOP 5 Plus Total Return 지수
261220,삼성 KODEX WTI원유선물특별자산상장지수투자신탁[원유-파생형](H),KODEX WTI원유선물(H),2016/12/27,S&P GSCI Crude Oil Index ER
300950,삼성 KODEX 게임산업증권상장지수투자신탁[주식],KODEX 게임산업,2018/07/24,FnGuide 게임 산업 지수
266390,삼성 KODEX 경기소비재증권상장지수투자신탁[주식형],KODEX 경기소비재,2017/03/28,KRX 경기소비재
279530,삼성 KODEX 고배당증권상장지수투자신탁[주식],KODEX 고배당,2017/10/17,FnGuide 고배당 Plus 지수
132030,삼성 KODEX 골드선물특별자산상장지수투자신탁(금-파생형)(H),KODEX 골드선물(H),2010/10/01,S&P GSCI Gold Index(TR)
138910,삼성 KODEX 구리선물특별자산상장지수투자신탁(구리-파생형)(H),KODEX 구리선물(H),2011/03/15,S&P GSCI North American Copper Index(TR)
114260,삼성 KODEX 국고채권 증권상장지수투자신탁[채권],KODEX 국고채3년,2009/07/29,MKF 국고채지수(총수익)
276990,삼성 KODEX 글로벌4차산업로보틱스증권상장지수투자신탁(주식-파생형)(합성),KODEX 글로벌4차산업로보틱스(합성),2017/08/17,ROBO Global Robotics & Automation UCITS Price Return Index
102960,삼성 KODEX 기계장비증권상장지수투자신탁[주식],KODEX 기계장비,2008/05/29,KRX 기계장비
352560,삼성 KODEX 다우존스미국리츠부동산상장지수투자신탁[REITs-파생재간접형](H),KODEX 다우존스미국리츠(H),2020/05/13,Dow Jones U.S. Real Estate PR Index
273140,삼성 KODEX 단기변동금리부채권액티브증권상장지수투자신탁[채권],KODEX 단기변동금리부채권액티브,2017/06/29,KAP 단기변동금리부은행채권지수
244620,삼성 KODEX 모멘텀PLUS증권상장지수투자신탁[주식],KODEX 모멘텀Plus,2016/05/13,FnGuide 모멘텀 Plus 지수
428560,삼성 KODEX 미국ETF산업Top10 Indxx증권상장지수투자신탁[주식],KODEX 미국ETF산업Top10 Indxx,2022/05/17,Indxx US ETF Industry Top10 Index(Price Return)
314250,삼성 KODEX 미국FANG플러스증권상장지수투자신탁[주식-파생형](H),KODEX 미국FANG플러스(H),2019/01/10,NYSE FANG+TM Index
379800,삼성 KODEX 미국S&P500 Total Return증권상장지수투자신탁[주식],KODEX 미국S&P500TR,2021/04/09,S&P 500 Total Return Index
276970,삼성 KODEX 미국S&P고배당커버드콜증권상장지수투자신탁[주식-파생형](합성 H),KODEX 미국S&P고배당커버드콜(합성 H),2017/08/10,S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index
379810,삼성 KODEX 미국나스닥100 Total Return증권상장지수투자신탁[주식],KODEX 미국나스닥100TR,2021/04/09,NASDAQ-100 Total Return Index
304940,삼성 KODEX 미국나스닥100선물증권상장지수투자신탁[주식-파생형](H),KODEX 미국나스닥100선물(H),2018/08/30,NASDAQ 100
261240,삼성 KODEX 미국달러선물특별자산상장지수투자신탁(미국달러-파생형),KODEX 미국달러선물,2016/12/27,미국달러선물지수
280930,삼성 KODEX 미국러셀2000증권상장지수투자신탁[주식-파생형](H),KODEX 미국러셀2000(H),2017/11/09,FTSE Russell 2000 Index
411420,삼성 KODEX 미국메타버스나스닥액티브증권상장지수투자신탁[주식],KODEX 미국메타버스나스닥액티브,2021/12/22,Nasdaq Yewno Metaverse Index (Price Return)
390390,삼성 KODEX 미국반도체MV증권상장지수투자신탁[주식],KODEX 미국반도체MV,2021/06/30,MVIS US Listed Semiconductor 25 Index
390400,삼성 KODEX 미국스마트모빌리티S&P증권상장지수투자신탁[주식],KODEX 미국스마트모빌리티S&P,2021/06/30,S&P Kensho Smart Transportation
218420,삼성 KODEX 미국에너지 증권상장지수투자신탁[주식-파생형](합성),KODEX 미국S&P에너지(합성),2015/04/28,S&P Select Sector Energy Index
308620,삼성 KODEX 미국채10년선물증권상장지수투자신탁[채권-파생형],KODEX 미국채10년선물,2018/10/19,S&P 10-Year U.S. Treasury Note Futures KRW(ER)
304660,삼성 KODEX 미국채울트라30년선물증권상장지수투자신탁[채권-파생형](H),KODEX 미국채울트라30년선물(H),2018/09/12,S&P Ultra T-Bond Futures Index(ER)
419420,삼성 KODEX 미국클린에너지나스닥증권상장지수투자신탁[주식],KODEX 미국클린에너지나스닥,2022/03/22,Nasdaq Clean Edge Green Energy Index (Price Return)
266360,삼성 KODEX 미디어&엔터테인먼트증권상장지수투자신탁(주식),KODEX 미디어&엔터테인먼트,2017/03/28,KRX 미디어&엔터테인먼트
244580,삼성 KODEX 바이오증권상장지수투자신탁[주식],KODEX 바이오,2016/05/13,FnGuide 바이오 지수
091160,삼성 KODEX 반도체 증권상장지수투자신탁[주식],KODEX 반도체,2006/06/27,KRX 반도체
325020,삼성 KODEX 배당가치증권상장지수투자신탁[주식형],KODEX 배당가치,2019/05/31,FnGuide SLV 배당가치 지수
211900,삼성 KODEX 배당성장 증권상장지수투자신탁(주식),KODEX 배당성장,2014/12/17,코스피 배당성장 50
237370,삼성 KODEX 배당성장채권혼합 증권상장지수투자신탁(채권혼합),KODEX 배당성장채권혼합,2016/01/27,배당성장채권혼합지수
244670,삼성 KODEX 밸류PLUS증권상장지수투자신탁[주식],KODEX 밸류Plus,2016/05/13,FnGuide 벨류 Plus 지수
102780,삼성 KODEX 삼성그룹주 증권상장지수투자신탁[주식],KODEX 삼성그룹,2008/05/21,삼성그룹
400570,삼성 KODEX 유럽탄소배출권선물ICE특별자산상장지수투자신탁[탄소배출권-파생형](H),KODEX 유럽탄소배출권선물ICE(H),2021/09/30,ICE EUA Carbon Futures Index(Excess Return)
144600,삼성 KODEX 은선물특별자산상장지수투자신탁(은-파생형)(H),KODEX 은선물(H),2011/07/18,S&P GSCI Silver Index(TR)
091170,삼성 KODEX 은행 증권상장지수투자신탁[주식],KODEX 은행,2006/06/27,KRX 은행
091180,삼성 KODEX 자동차 증권상장지수투자신탁[주식],KODEX 자동차,2006/06/27,KRX 자동차
363570,삼성 KODEX 장기종합채권(AA-이상)액티브KAP증권상장지수투자신탁[채권],KODEX 장기종합채권(AA-이상)액티브KAP,2020/09/25,"KAP 한국장기종합채권지수(AA-이상, 총수익)"
273130,삼성 KODEX 종합채권(AA-이상)액티브증권상장지수투자신탁[채권],KODEX 종합채권(AA-이상)액티브,2017/06/29,KAP 한국종합채권지수
102970,삼성 KODEX 증권주 증권상장지수투자신탁[주식],KODEX 증권,2008/05/29,KRX 증권
419430,삼성 KODEX 차이나2차전지MSCI증권상장지수투자신탁[주식-파생형](합성),KODEX 차이나2차전지MSCI(합성),2022/03/22,MSCI China all shares IMI Select Batteries Index(Price Return)
283580,삼성 KODEX 차이나CSI300증권상장지수투자신탁[주식-파생형],KODEX 차이나CSI300,2017/12/13,CSI 300 Index
169950,삼성 KODEX 차이나FTSE China A50증권상장지수투자신탁[주식-파생형],KODEX 차이나A50,2013/01/21,FTSE China A50 Index
099140,삼성 KODEX 차이나H증권상장지수투자신탁[주식],KODEX 차이나H,2007/10/10,Hang Seng China H
415340,삼성 KODEX 차이나과창판STAR50증권상장지수투자신탁[주식-파생형](합성),KODEX 차이나과창판STAR50(합성),2022/01/13,STAR 50 Index(Price Return)
428510,삼성 KODEX 차이나메타버스액티브증권상장지수투자신탁[주식],KODEX 차이나메타버스액티브,2022/05/17,Bloomberg Greater China Media & Tech Index(Price Return)
256750,삼성 KODEX 차이나심천ChiNext증권상장지수투자신탁[주식-파생형](합성),KODEX 차이나심천ChiNext(합성),2016/11/08,SZSE ChiNext Price Index
372330,삼성 KODEX 차이나항셍테크증권상장지수투자신탁[주식],KODEX 차이나항셍테크,2020/12/16,Hang Seng TECH Index
279540,삼성 KODEX 최소변동성증권상장지수투자신탁[주식],KODEX 최소변동성,2017/10/17,KRX 최소변동성지수
229200,삼성 KODEX 코스닥 150 증권상장지수투자신탁(주식),KODEX 코스닥150,2015/10/01,코스닥 150
360150,삼성 KODEX 코스닥150롱코스피200숏선물증권상장지수투자신탁[주식-파생형],KODEX 코스닥150롱코스피200숏선물,2020/08/21,코스닥150 롱 100% 코스피200 숏 100% 선물지수
226490,삼성 KODEX 코스피 증권상장지수투자신탁(신탁),KODEX 코스피,2015/08/24,코스피
359210,삼성 KODEX 코스피TotalReturn증권상장지수투자신탁[주식],KODEX 코스피TR,2020/07/21,코스피 TR
337140,삼성 KODEX 코스피대형주증권상장지수투자신탁[주식],KODEX 코스피대형주,2019/11/14,코스피 대형주
138920,삼성 KODEX 콩선물특별자산상장지수투자신탁(콩-파생형)(H),KODEX 콩선물(H),2011/03/15,S&P GSCI Soybeans Index(TR)
244660,삼성 KODEX 퀄리티PLUS증권상장지수투자신탁[주식],KODEX 퀄리티Plus,2016/05/13,FnGuide 퀄리티 Plus 지수
375770,삼성 KODEX 탄소효율그린뉴딜증권상장지수투자신탁[주식],KODEX 탄소효율그린뉴딜,2021/02/05,KRX/S&P 탄소효율 그린뉴딜지수
266410,삼성 KODEX 필수소비재증권상장지수투자신탁[주식형],KODEX 필수소비재,2017/03/28,KRX 필수소비재
298770,삼성 KODEX 한국대만IT프리미어증권상장지수투자신탁[주식-파생형],KODEX 한국대만IT프리미어,2018/06/11,한국 대만 IT 프리미어지수
266420,삼성 KODEX 헬스케어증권상장지수투자신탁[주식형],KODEX 헬스케어,2017/03/28,KRX 헬스케어
364690,삼성 KODEX 혁신기술테마액티브증권상장지수투자신탁[주식],KODEX 혁신기술테마액티브,2020/09/29,코스피
069500,삼성 KODEX200 증권상장지수투자신탁[주식],KODEX 200,2002/10/14,코스피 200
284430,삼성 KODEX200미국채혼합증권상장지수투자신탁[채권혼합-파생형],KODEX 200미국채혼합,2017/11/30,코스피 200 미국채 혼합지수
321410,삼성 KODEX모닝스타멀티에셋하이인컴증권상장지수투자신탁[채권혼합-파생재간접형](H),KODEX 멀티에셋하이인컴(H),2019/06/05,Morningstar Multi-Asset High Income 10% Capped Index
